element,sp_num,obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
N,7,"=""""","=""1.91179""","=""""","=""4.739e+10""",AA,"=""0.0""","=""(5230706.65)""","=""1s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""3/2""",,"=""T6492,T8146,LS""","=""""",
N,7,"=""""","=""1.91180""","=""""","=""4.739e+10""",AA,"=""0.0""","=""(5230674.05)""","=""1s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""1/2""",,"=""T6492,T8146,LS""","=""""",
N,7,"=""""","=""1.93612""","=""""","=""8.258e+10""",AA,"=""0.0""","=""(5164973.86)""","=""1s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""3/2""",,"=""T6492,T8146,LS""","=""""",
N,7,"=""""","=""1.93614""","=""""","=""8.258e+10""",AA,"=""0.0""","=""(5164917.53)""","=""1s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""1/2""",,"=""T6492,T8146,LS""","=""""",
N,7,"=""""","=""1.98257""","=""""","=""1.638e+11""",AA,"=""0.0""","=""(5043964.05)""","=""1s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""3/2""",,"=""T6492,T8146,LS""","=""""",
N,7,"=""""","=""1.98261""","=""""","=""1.638e+11""",AA,"=""0.0""","=""(5043854.01)""","=""1s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""1/2""",,"=""T6492,T8146,LS""","=""""",
N,7,"=""""","=""2.09095""","=""""","=""4.018e+11""",AA,"=""0.0""","=""(4782524.86)""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",,"=""T6492,T8146,LS""","=""""",
N,7,"=""""","=""2.09106""","=""""","=""4.017e+11""",AA,"=""0.0""","=""(4782264.01)""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",,"=""T6492,T8146,LS""","=""""",
N,6,"=""""","=""2.30240""","=""""","=""6.290e+10""",AA,"=""0""","=""4343290""","=""1s2""","=""1S""","=""0""","=""1s.6p""","=""1P*""","=""1""",,"=""T5997""","=""""",
N,6,"=""""","=""2.32770""","=""""","=""1.091e+11""",AA,"=""0""","=""4296090""","=""1s2""","=""1S""","=""0""","=""1s.5p""","=""1P*""","=""1""",,"=""T5997""","=""""",
