element,sp_num,obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref
O,8,,1.46343,,8.085e+10,AA,0.0,(6833270.2344),1s,2S,1/2,6p,2P*,3/2,,T6492extrap,
O,8,,1.46344,,8.085e+10,AA,0.0,(6833214.5940),1s,2S,1/2,6p,2P*,1/2,,T6492extrap,
O,8,,1.48205,,1.409e+11,AA,0.0,(6747408.7880),1s,2S,1/2,5p,2P*,3/2,,T6492extrap,
O,8,,1.48207,,1.409e+11,AA,0.0,(6747312.6360),1s,2S,1/2,5p,2P*,1/2,,T6492extrap,
O,8,,1.51760,,2.794e+11,AA,0.0,(6589342.716),1s,2S,1/2,4p,2P*,3/2,,T6492extrap,
O,8,,1.51765,,2.794e+11,AA,0.0,(6589154.903),1s,2S,1/2,4p,2P*,1/2,,T6492extrap,
O,8,,1.60055,,6.855e+11,AA,0.0,(6247844.960),1s,2S,1/2,3p,2P*,3/2,,T6492extrap,
O,8,,1.60067,,6.853e+11,AA,0.0,(6247399.742),1s,2S,1/2,3p,2P*,1/2,,T6492extrap,
O,7,,1.78052,,1.84e+02,C,0,5616340.0,1s2,1S,0,1s.4s,3S,1,M1,T4905,
O,7,,1.86270,,9.365e+11,AA,0,5368550.0,1s2,1S,0,1s.3p,1P*,1,,T5997,
O,7,,1.86377,,1.451e+08,AA,0,5365470.0,1s2,1S,0,1s.3d,1D,2,E2,T3908,
O,7,,1.87307,,3.57e+02,C,0,5338820.0,1s2,1S,0,1s.3s,3S,1,M1,T4905,
O,8,,1.89671,,2.567e+12,AA,0.0,(5272284.37),1s,2S,1/2,2p,2P*,3/2,,T6492extrap,
O,8,,1.89725,,2.566e+12,AA,0.0,(5270781.85),1s,2S,1/2,2p,2P*,1/2,,T6492extrap,
O,7,,2.16020,,3.309e+12,AA,0,4629201.0,1s2,1S,0,1s.2p,1P*,1,,T5997,
O,7,,2.18044,,3.31e+05,A,0,4586230.0,1s2,1S,0,1s.2p,3P*,2,M2,T1494,
O,7,,2.18070,,,,0,4585680.0,1s2,1S,0,1s.2p,3P*,1,,,
O,7,,2.21012,,1.04e+03,AA,0,4524640.0,1s2,1S,0,1s.2s,3S,1,M1,T1896,
O,8,,6.40005,,1.759e+10,AA,(5270781.85),(6833270.1380),2p,2P*,1/2,6d,2D,3/2,,T6492extrap,
O,8,,6.40026,,1.005e+09,AA,(5270781.85),(6833217.3570),2p,2P*,1/2,6s,2S,1/2,,T6492extrap,
O,8,,6.40035,,1.171e+10,AA,(5270855.39),(6833270.2344),2s,2S,1/2,6p,2P*,3/2,,T6492extrap,
O,8,,6.40058,,1.171e+10,AA,(5270855.39),(6833214.5940),2s,2S,1/2,6p,2P*,1/2,,T6492extrap,
O,8,,6.40613,,2.107e+10,AA,(5272284.37),(6833288.6610),2p,2P*,3/2,6d,2D,5/2,,T6492extrap,
O,8,,6.40621,,3.511e+09,AA,(5272284.37),(6833270.1380),2p,2P*,3/2,6d,2D,3/2,,T6492extrap,
O,8,,6.40642,,2.006e+09,AA,(5272284.37),(6833217.3570),2p,2P*,3/2,6s,2S,1/2,,T6492extrap,
O,8,,6.77219,,3.224e+10,AA,(5270781.85),(6747408.6240),2p,2P*,1/2,5d,2D,3/2,,T6492extrap,
O,8,,6.77253,,2.028e+10,AA,(5270855.39),(6747408.7880),2s,2S,1/2,5p,2P*,3/2,,T6492extrap,
O,8,,6.77261,,1.762e+09,AA,(5270781.85),(6747317.4070),2p,2P*,1/2,5s,2S,1/2,,T6492extrap,
O,8,,6.77297,,2.028e+10,AA,(5270855.39),(6747312.6360),2s,2S,1/2,5p,2P*,1/2,,T6492extrap,
O,8,,6.77894,,3.859e+10,AA,(5272284.37),(6747440.6320),2p,2P*,3/2,5d,2D,5/2,,T6492extrap,
O,8,,6.77909,,6.433e+09,AA,(5272284.37),(6747408.6240),2p,2P*,3/2,5d,2D,3/2,,T6492extrap,
O,8,,6.77951,,3.518e+09,AA,(5272284.37),(6747317.4070),2p,2P*,3/2,5s,2S,1/2,,T6492extrap,
O,8,,7.58403,,7.056e+10,AA,(5270781.85),(6589342.396),2p,2P*,1/2,4d,2D,3/2,,T6492extrap,
O,8,,7.58445,,3.963e+10,AA,(5270855.39),(6589342.716),2s,2S,1/2,4p,2P*,3/2,,T6492extrap,
O,8,,7.58505,,3.528e+09,AA,(5270781.85),(6589164.206),2p,2P*,1/2,4s,2S,1/2,,T6492extrap,
O,8,,7.58553,,3.961e+10,AA,(5270855.39),(6589154.903),2s,2S,1/2,4p,2P*,1/2,,T6492extrap,
O,8,,7.59232,,8.446e+10,AA,(5272284.37),(6589404.912),2p,2P*,3/2,4d,2D,5/2,,T6492extrap,
O,8,,7.59268,,1.407e+10,AA,(5272284.37),(6589342.396),2p,2P*,3/2,4d,2D,3/2,,T6492extrap,
O,8,,7.59371,,7.037e+09,AA,(5272284.37),(6589164.206),2p,2P*,3/2,4s,2S,1/2,,T6492extrap,
O,7,,7.88619,,4.61e+09,A,4585620.0,5853660.0,1s.2p,3P*,0,1s.7d,3D,1,,T5231LS,
O,7,,7.88656,,6.22e+09,A,4585680.0,5853660.0,1s.2p,3P*,1,1s.7d,3D,2,,T5231LS,
O,7,,7.88656,,3.45e+09,A,4585680.0,5853660.0,1s.2p,3P*,1,1s.7d,3D,1,,T5231LS,
O,7,,7.88998,,2.30e+08,A,4586230.0,5853660.0,1s.2p,3P*,2,1s.7d,3D,1,,T5231LS,
O,7,,7.88998,,8.28e+09,A,4586230.0,5853660.0,1s.2p,3P*,2,1s.7d,3D,3,,T5231LS,
O,7,,7.88998,,2.07e+09,A,4586230.0,5853660.0,1s.2p,3P*,2,1s.7d,3D,2,,T5231LS,
O,7,,8.14697,,7.515e+09,AA,4585620.0,5813070.0,1s.2p,3P*,0,1s.6d,3D,1,,T5997LS,
O,7,,8.14737,,1.014e+10,AA,4585680.0,5813070.0,1s.2p,3P*,1,1s.6d,3D,2,,T5997LS,
O,7,,8.14737,,5.635e+09,AA,4585680.0,5813070.0,1s.2p,3P*,1,1s.6d,3D,1,,T5997LS,
O,7,,8.15102,,3.752e+08,AA,4586230.0,5813070.0,1s.2p,3P*,2,1s.6d,3D,1,,T5997LS,
O,7,,8.15102,,1.351e+10,AA,4586230.0,5813070.0,1s.2p,3P*,2,1s.6d,3D,3,,T5997LS,
O,7,,8.15102,,3.377e+09,AA,4586230.0,5813070.0,1s.2p,3P*,2,1s.6d,3D,2,,T5997LS,
O,7,,8.15947,,6.770e+09,AA,4588380.0,5813950.0,1s.2s,1S,0,1s.6p,1P*,1,,T5997,
O,7,,8.44253,,1.177e+10,AA,4629201.0,5813680.0,1s.2p,1P*,1,1s.6d,1D,2,,T5997,
O,7,,8.60748,,1.369e+10,AA,4585620.0,5747400.0,1s.2p,3P*,0,1s.5d,3D,1,,T5997LS,
O,7,,8.60778,,1.848e+10,AA,4585680.0,5747420.0,1s.2p,3P*,1,1s.5d,3D,2,,T5997LS,
O,7,,8.60793,,1.026e+10,AA,4585680.0,5747400.0,1s.2p,3P*,1,1s.5d,3D,1,,T5997LS,
O,7,,8.61037,,2.461e+10,AA,4586230.0,5747620.0,1s.2p,3P*,2,1s.5d,3D,3,,T5997LS,
O,7,,8.61186,,6.150e+09,AA,4586230.0,5747420.0,1s.2p,3P*,2,1s.5d,3D,2,,T5997LS,
O,7,,8.61200,,6.833e+08,AA,4586230.0,5747400.0,1s.2p,3P*,2,1s.5d,3D,1,,T5997LS,
O,7,,8.62017,,1.165e+10,AA,4588380.0,5748450.0,1s.2s,1S,0,1s.5p,1P*,1,,T5997,
O,7,,8.93632,,2.167e+10,AA,4629201.0,5748230.0,1s.2p,1P*,1,1s.5d,1D,2,,T5997,
O,7,,9.61224,,2.958e+10,AA,4585620.0,5625960.0,1s.2p,3P*,0,1s.4d,3D,1,,T5997LS,
O,7,,9.61243,,3.993e+10,AA,4585680.0,5626000.0,1s.2p,3P*,1,1s.4d,3D,2,,T5997LS,
O,7,,9.61280,,2.218e+10,AA,4585680.0,5625960.0,1s.2p,3P*,1,1s.4d,3D,1,,T5997LS,
O,7,,9.61289,,5.323e+10,AA,4586230.0,5626500.0,1s.2p,3P*,2,1s.4d,3D,3,,T5997LS,
O,7,,9.61751,,1.329e+10,AA,4586230.0,5626000.0,1s.2p,3P*,2,1s.4d,3D,2,,T5997LS,
O,7,,9.61788,,1.476e+09,AA,4586230.0,5625960.0,1s.2p,3P*,2,1s.4d,3D,1,,T5997LS,
